region,zone,woreda,school_name,admin_code,geometry,lat,lon
Oromia,Arsii,Asakoo,Riibuu Maasaa,S0402020182,POINT (40.0666 8.43613),8.43613,40.0666
Oromia,Arsii,Asakoo,Ardaa Waaccootaa,S0402020242,POINT (39.9925 8.576319999999999),8.57632,39.9925
Oromia,Arsii,Asakoo,Ribuu Sirrii,S0402020252,POINT (40.1298 8.475389999999999),8.47539,40.1298
Oromia,Arsii,Asakoo,Haroo Caffee,S0402020202,POINT (40.0271 8.484010000000001),8.48401,40.0271
Oromia,Arsii,Asakoo,Diimaa Asakoo,S0402020292,POINT (40.0505 8.42375),8.42375,40.0505
Oromia,Arsii,Asakoo,Odaa Sadeen,S0402020112,POINT (40.0443 8.557539999999999),8.55754,40.0443
Oromia,Arsii,Asakoo,Asakoo sad. 1ffaa,S0402020392,POINT (40.0183 8.501239999999999),8.50124,40.0183
Oromia,Arsii,Asakoo,Asakoo sadarka  2ffaa,S0402020433,POINT (40.0168 8.50046),8.50046,40.0168
Oromia,Arsii,Asakoo,Caffaa 2ffaa,S0402020413,POINT (40.0912 8.469239999999999),8.46924,40.0912
Oromia,Arsii,Asakoo,Kaarra Fayyisaa,S0402020423,POINT (40.0853 8.596270000000001),8.59627,40.0853
Oromia,Arsii,Gunaa,Diimaa,S0402100313,POINT (40.0223 8.404769999999999),8.40477,40.0223
Oromia,Baalee,Dalloo Mannaa,Boowwicha,S0403070082,POINT (39.829216 6.263925),6.263925,39.829216
Oromia,Baalee,Dalloo Mannaa,Malkaa Funyaanii,S0403070112,POINT (39.732586 6.4095554),6.4095554,39.732586
Oromia,Baalee,Dalloo Mannaa,Makkanisaa,S0403070282,POINT (39.97111 6.525658999999999),6.525659,39.97111
Oromia,Baalee,Dalloo Mannaa,Dayyuu,S0403070492,POINT (39.968193 6.4882517),6.4882517,39.968193
Oromia,Baalee,Dalloo Mannaa,Ardaa Buttee,S0403070172,POINT (39.9596 6.41525),6.41525,39.9596
Oromia,Baalee,Dalloo Mannaa,Barraaq,S0403070302,POINT (39.95831 6.0324073),6.0324073,39.95831
Oromia,Baalee,Dalloo Mannaa,Odaa Diimaa,S0403070352,POINT (39.97326 6.546116400000002),6.5461164,39.97326
Oromia,Baalee,Dalloo Mannaa,Haya-Odaa,S0403070362,POINT (39.913902 6.3684587),6.3684587,39.913902
Oromia,Baalee,Dalloo Mannaa,Sonxiqaraa,S0403070382,POINT (39.91737 6.4785857),6.4785857,39.91737
Oromia,Baalee,Dalloo Mannaa,Cirrii Qalloo,S0403070132,POINT (39.7825 6.405719),6.405719,39.7825
Oromia,Baalee,Dalloo Mannaa,Wal-qixxee,S0403070192,POINT (39.95958 6.415251),6.415251,39.95958
Oromia,Baalee,Dalloo Mannaa,Gomgomaa,S0403070512,POINT (39.8355 6.318023999999999),6.318024,39.8355
Oromia,Baalee,Dalloo Mannaa,Malkaa Amaanaa,S0403070342,POINT (39.78886 6.246451),6.246451,39.78886
Oromia,Baalee,Dalloo Mannaa,Ulaagaa Birbiree,S0403070222,POINT (39.86717 6.3887663),6.3887663,39.86717
Oromia,Baalee,Dalloo Mannaa,Ardaa xilloo,S0403070202,POINT (39.770718 6.268193),6.268193,39.770718
Oromia,Baalee,Dalloo Mannaa,Qorkee Beelbahaa,S0403070182,POINT (39.75547 6.390263),6.390263,39.75547
Oromia,Baalee,Dalloo Mannaa,Naanigaa Dheera. Lakk. 1,S0403070262,POINT (39.872993 6.212269),6.212269,39.872993
Oromia,Baalee,Dalloo Mannaa,Odaa Guddaa,S0403070242,POINT (39.941246 6.513938),6.513938,39.941246
Oromia,Baalee,Dalloo Mannaa,Hara wanjii,S0403070092,POINT (39.915504 6.247401),6.247401,39.915504
Oromia,Baalee,Dalloo Mannaa,Kallee Golbaa,S0403070252,POINT (40.06063 6.4687366),6.4687366,40.06063
Oromia,Baalee,Dalloo Mannaa,Jamjam,S0403070162,POINT (39.849667 6.275204),6.275204,39.849667
Oromia,Baalee,Dalloo Mannaa,Boobiyyaa,S0403070322,POINT (39.99532 6.561866800000002),6.5618668,39.99532
Oromia,Baalee,Dalloo Mannaa,Odaa Maddaa,S0403070462,POINT (39.90819000000001 6.442419),6.442419,39.90819
Oromia,Baalee,Dalloo Mannaa,Buunnee,S0403070062,POINT (39.987938 6.458079),6.458079,39.987938
