index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
24,24,Random Search,437705,3081,"[[9.74268604,39.62426567]
,[11.98231581,36.84119505]
,[9.83337315,36.24071133]
,[11.83626311,37.60585292]
,[11.88641783,36.422667,]]",89.30124402,NA
16,16,Random Search,437703,3079,"[[9.38339135,36.39867334]
,[9.64702776,36.62717465]
,[11.08695762,37.8065391,]
,[10.87911153,37.69229233]
,[12.12919257,38.05855143]]",88.26836801,NA
34,4,CMA,437657,3033,"[[9.04580662,37.97566501]
,[12.75569787,36.59727577]
,[9.87509778,39.04530808]
,[12.53930153,37.15202739]
,[11.6890679,38.79601471]]",112.1300118,0.14
28,28,Random Search,437654,3030,"[[11.66043712,37.16689958]
,[10.68137603,36.96498796]
,[13.53115971,39.17985616]
,[11.41966577,37.16207184]
,[12.38950959,37.18339635]]",90.31888986,NA
27,27,Random Search,437647,3023,"[[10.90323001,37.55982073]
,[13.14505998,37.99825669]
,[11.5245612,36.87280547]
,[12.10864042,38.03936871]
,[8.72150117,38.80451592]]",90.07180357,NA
0,0,Random Search,437552,2928,"[[10.68385018,37.69771647]
,[11.89273769,39.26379447]
,[10.28475377,39.39923527]
,[12.13897288,38.03945871]
,[12.28883009,36.69973363]]",118.7278621,NA
23,23,Random Search,437542,2918,"[[11.2005332,39.69573221]
,[12.10637724,38.03329121]
,[13.43226382,36.8368313,]
,[11.7513738,37.61510357]
,[13.26360528,37.88792016]]",89.30567288,NA
35,5,CMA,437540,2916,"[[9.49586824,35.76751656]
,[10.88332245,38.58281455]
,[10.75580932,36.80530068]
,[12.69027035,37.6879656,]
,[11.21475565,35.94662262]]",134.869374,0.16
6,6,Random Search,437539,2915,"[[12.20309707,36.28877774]
,[11.67202203,37.64012535]
,[8.90069198,36.09123889]
,[8.82719378,37.76195334]
,[12.14756335,38.05576807]]",88.92698908,NA
9,9,Random Search,437538,2914,"[[12.12890683,38.05848758]
,[13.33484791,40.03782299]
,[10.83410722,37.50580231]
,[10.32705628,39.27421797]
,[11.08188109,38.87808985]]",88.1893754,NA
7,7,Random Search,437513,2889,"[[12.13449228,38.05564965]
,[11.76669738,39.51620371]
,[9.10769608,36.71230884]
,[12.4386897,36.35132962]
,[9.72604034,36.81417288]]",88.6787436,NA
25,25,Random Search,437482,2858,"[[9.86530215,39.40505259]
,[10.46637654,39.45561124]
,[12.12992208,38.04301564]
,[10.90454325,39.60591222]
,[12.36106784,35.37338924]]",89.62413597,NA
26,26,Random Search,437428,2804,"[[11.99761299,37.35592419]
,[12.29671028,37.06535282]
,[10.48287547,38.34874454]
,[10.76284106,36.80128583]
,[10.26044226,38.11584201]]",89.20851588,NA
33,3,CMA,437394,2770,"[[9.87367464,39.04436118]
,[12.52222994,37.55486855]
,[9.99167364,39.78531601]
,[10.82324133,35.5290216,]
,[13.35795307,37.6730419,]]",83.42431211,0.12
18,18,Random Search,437393,2769,"[[10.91907327,37.69044138]
,[11.83866589,37.60560216]
,[13.48767571,37.30711714]
,[12.54129698,37.59170495]
,[9.90674435,36.37569905]]",88.66025233,NA
29,29,Random Search,437314,2690,"[[11.82440228,37.96166959]
,[11.65854523,38.73227052]
,[10.75086242,37.56595247]
,[9.65991868,39.50813634]
,[12.39091933,37.56264228]]",91.71978974,NA
5,5,Random Search,437304,2680,"[[13.48485384,38.14907274]
,[13.43812648,36.54700839]
,[8.89009776,38.4132135,]
,[11.28293015,39.9910912,]
,[11.82286816,37.61179522]]",85.54071784,NA
10,10,Random Search,437300,2676,"[[12.12570424,38.05966738]
,[11.18716168,37.87495776]
,[10.13064109,38.46060645]
,[11.67797708,36.34028696]
,[13.12747221,35.57675706]]",87.8680191,NA
21,21,Random Search,437291,2667,"[[10.99514542,37.97703939]
,[13.2580658,39.04519109]
,[12.1244576,38.07005394]
,[12.40256338,38.470606,]
,[11.64503987,35.81685818]]",89.02343488,NA
227,197,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",167.7833142,0.2
247,217,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",168.1886146,0.2
257,227,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",168.672864,0.2
87,57,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",166.6880774,0.2
157,127,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",167.1636915,0.2
117,87,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",171.7316992,0.2
197,167,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",167.380415,0.2
207,177,CMA,437286,2662,"[[8.89936799,36.72987462]
,[10.15135181,38.15101768]
,[11.80397536,38.22585133]
,[10.03266324,35.37443549]
,[11.25284139,35.73537808]]",167.3683386,0.2
