,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
37,48,48,CMA,166117.0,3419.0,"[[ 7.43853646 37.61532979]
 [ 6.89408695 37.60502494]
 [ 7.02073738 37.84653973]
 [ 7.62134736 36.55885491]
 [ 7.75016802 35.40791185]]",39.20063257217407,1.5
38,42,42,CMA,166115.0,3417.0,"[[ 5.54882581 36.31101906]
 [ 6.46786527 38.8084514 ]
 [ 6.59162116 38.76370287]
 [ 7.69239661 34.98717517]
 [ 6.53343549 38.70493161]]",146.84936094284058,2.0
39,49,49,CMA,166105.0,3407.0,"[[ 7.2769097  38.24916939]
 [ 6.59164308 38.76352994]
 [ 6.94514663 39.01604417]
 [ 7.02091106 37.84636736]
 [ 6.72653439 37.56572779]]",80.36272358894348,1.75
40,52,52,CMA,166038.0,3340.0,"[[ 6.8566771  35.47636006]
 [ 7.08382836 37.9200149 ]
 [ 7.00557614 37.8329864 ]
 [ 6.59157692 38.76355816]
 [ 7.61980323 37.00656584]]",213.9336814880371,2.5
41,41,41,CMA,166010.0,3312.0,"[[ 8.03350759 38.51775502]
 [ 8.18581737 37.96275726]
 [ 7.97883026 37.84289392]
 [ 6.40716893 38.97838872]
 [ 7.02055681 37.84658566]]",89.81519055366516,1.75
42,69,69,CMA,165957.0,3259.0,"[[ 6.52971164 38.70632739]
 [ 6.59161582 38.76368629]
 [ 7.0201984  37.84697533]
 [ 8.22699885 36.29538728]
 [ 5.8592214  39.07721983]]",258.7642385959625,2.75
43,29,29,CMA,165954.0,3256.0,"[[ 7.02659764 37.96986034]
 [ 7.2274956  35.55871992]
 [ 6.71611598 37.75920671]
 [ 6.59163169 38.76353822]
 [ 8.02035022 38.52050801]]",330.3823273181915,2.75
44,59,59,CMA,165950.0,3252.0,"[[ 4.64045143 39.07142297]
 [ 6.89386255 37.60505656]
 [ 8.33424152 36.65869515]
 [ 6.52939385 38.70612674]
 [ 6.59163501 38.76352447]]",161.52190732955933,2.25
45,19,19,CMA,165931.0,3233.0,"[[ 6.1511097  38.20154488]
 [ 7.02554012 37.66164246]
 [ 5.23900813 34.85341755]
 [ 7.78682547 37.80168296]
 [ 5.65329246 39.10688486]]",176.78245329856873,2.25
46,3,3,CMA,165919.0,3221.0,"[[ 8.43434961 35.55211492]
 [ 7.02023207 37.84696248]
 [ 6.97312933 35.57096013]
 [ 4.97343361 38.09634749]
 [ 7.39288256 37.75254244]]",184.37726736068726,2.25
