region,maxits,proposed_schools_n,starting_point,algorithm,std,ee,eei,proposed_locations,time,sigma
Somali,20000,5,7,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.149975777,0.721992523
Somali,20000,5,7,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.184517384,0.902490654
Somali,20000,5,7,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.212404251,1.082988785
Somali,20000,5,7,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.239013433,1.263486915
Somali,20000,5,7,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.259651661,1.443985046
Somali,20000,5,7,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.289621115,1.624483177
Somali,20000,5,7,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.319641829,1.804981308
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.019601345,0.180498131
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.049419165,0.360996262
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.079464912,0.541494392
Somali,20000,5,8,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.140263796,0.721992523
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.16953826,0.902490654
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.190052509,1.082988785
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.220460892,1.263486915
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.248346329,1.443985046
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.269213676,1.624483177
Somali,20000,5,8,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.300084591,1.804981308
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.029226542,0.180498131
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.050447464,0.360996262
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.083506107,0.541494392
Somali,20000,5,9,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.143555164,0.721992523
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.168991327,0.902490654
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.19932127,1.082988785
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.229341745,1.263486915
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.250138283,1.443985046
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.279954195,1.624483177
Somali,20000,5,9,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.308346272,1.804981308
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.02099514,0.180498131
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.051109076,0.360996262
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.071772337,0.541494392
Somali,20000,5,10,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.141535044,0.721992523
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.170714378,0.902490654
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.191960573,1.082988785
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.221625566,1.263486915
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.25326395,1.443985046
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.281041384,1.624483177
Somali,20000,5,10,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.301946163,1.804981308
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.029758215,0.180498131
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.05982089,0.360996262
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.080015659,0.541494392
Somali,20000,5,11,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.15015173,0.721992523
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.179634571,0.902490654
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.199051857,1.082988785
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.229112148,1.263486915
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.259146214,1.443985046
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.279884815,1.624483177
Somali,20000,5,11,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.310029984,1.804981308
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.029128313,0.180498131
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.048956633,0.360996262
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.079044104,0.541494392
Somali,20000,5,12,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.140093327,0.721992523
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.173455715,0.902490654
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.199847698,1.082988785
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.227939606,1.263486915
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.250014782,1.443985046
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.278984547,1.624483177
Somali,20000,5,12,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.308691263,1.804981308
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.021276951,0.180498131
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.05076313,0.360996262
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.080893993,0.541494392
Somali,20000,5,13,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.140960455,0.721992523
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.170918465,0.902490654
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.190364838,1.082988785
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.220086813,1.263486915
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.251438141,1.443985046
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.278666973,1.624483177
Somali,20000,5,13,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.30641818,1.804981308
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.030837059,0.180498131
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.061637402,0.360996262
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.091490984,0.541494392
Somali,20000,5,14,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.16090107,0.721992523
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.189822435,0.902490654
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.217787027,1.082988785
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.244007111,1.263486915
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.273834229,1.443985046
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.304675102,1.624483177
Somali,20000,5,14,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.333348513,1.804981308
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.035219669,0.180498131
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.064455986,0.360996262
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.096292734,0.541494392
Somali,20000,5,15,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.160628557,0.721992523
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.190346956,0.902490654
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.221152544,1.082988785
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.252169371,1.263486915
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.280344963,1.443985046
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.301392794,1.624483177
Somali,20000,5,15,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.331151009,1.804981308
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.02947402,0.180498131
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.05018425,0.360996262
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.0803473,0.541494392
Somali,20000,5,16,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.148448229,0.721992523
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.16998601,0.902490654
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.200418472,1.082988785
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.230388641,1.263486915
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.249556303,1.443985046
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.75743304 42.55626584]
 [ 6.83720002 43.40283547]
 [ 6.43635951 46.31273942]
 [ 7.12329213 44.62950484]
 [ 4.82930799 41.93392967]]",0.279067755,1.624483177
Somali,20000,5,16,CMA-ES - 2,1.804981308,16798,0,"[[ 7.76153351 42.43943884]
 [ 6.5785965  43.35537985]
 [ 6.30629199 46.35822288]
 [ 7.27845089 44.5244885 ]
 [ 4.83214127 42.02641756]]",0.309032202,1.804981308
Somali,20000,5,17,CMA-ES - 2,1.804981308,16798,0,"[[ 7.42711225 43.87900559]
 [ 7.4767511  43.80922867]
 [ 7.46346328 45.75079618]
 [ 5.88202208 45.36766807]
 [ 4.80664175 42.57039798]]",0.02110076,0.180498131
Somali,20000,5,17,CMA-ES - 2,1.804981308,16798,0,"[[ 7.49732761 43.67592887]
 [ 7.64709144 43.75582899]
 [ 7.34652034 45.84029643]
 [ 6.03718084 45.28531117]
 [ 4.80947503 42.35702555]]",0.05320406,0.360996262
Somali,20000,5,17,CMA-ES - 2,1.804981308,16798,0,"[[ 7.55927861 43.48363337]
 [ 7.74110293 43.70317233]
 [ 7.21676463 45.92429459]
 [ 6.19233959 45.20012185]
 [ 4.81230831 42.18188566]]",0.081469774,0.541494392
Somali,20000,5,17,CMA-ES - 2,1.804981308,16838,40,"[[ 7.20269588 43.63599481]
 [ 7.37276736 44.25999973]
 [ 7.68795492 45.43663184]
 [ 6.21462295 44.37067032]
 [ 4.67160019 43.40152346]]",0.150032759,0.721992523
Somali,20000,5,17,CMA-ES - 2,1.804981308,16798,0,"[[ 7.37438236 45.12854093]
 [ 7.04919764 43.70859929]
 [ 6.86776669 45.7984854 ]
 [ 6.24608448 41.98778503]
 [ 6.46734579 42.74775099]]",0.17023325,0.902490654
Somali,20000,5,17,CMA-ES - 2,1.804981308,16798,0,"[[ 7.69554544 42.97143415]
 [ 7.5651643  43.54966037]
 [ 6.82656207 46.14327646]
 [ 6.65781586 44.92755928]
 [ 4.82080815 41.88586124]]",0.200356483,1.082988785
Somali,20000,5,17,CMA-ES - 2,1.804981308,16798,0,"[[ 7.724439   42.8222635 ]
 [ 7.35386039 43.49997573]
 [ 6.69649455 46.20526621]
 [ 6.81297462 44.83104023]
 [ 4.82364143 41.86365151]]",0.230050564,1.263486915
Somali,20000,5,17,CMA-ES - 2,1.804981308,16798,0,"[[ 7.7450682  42.68387406]
 [ 7.09580354 43.4510341 ]
 [ 6.56642703 46.26175387]
 [ 6.96813337 44.73168875]
 [ 4.82647471 41.87967432]]",0.25146842,1.443985046
