level_0,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
101,,31,CMA,451322,16698,"[[12.35980085 35.58081091]
 [10.42922803 38.98204344]
 [13.38418642 38.14783978]
 [11.68802821 38.79629103]
 [12.14181059 38.04757819]
 [11.20636063 35.83711492]
 [10.77455198 36.95622012]
 [ 9.5245999  36.00179197]
 [ 8.71508578 36.60543826]
 [10.73941979 36.99671875]]",230.4912877,0.1
4,17,12,CMA,451051,16427,"[[ 8.73488057 37.95230749]
 [12.54675633 38.76115994]
 [11.81662244 37.60845341]
 [12.7775247  35.56660895]
 [12.36048056 38.02320592]
 [11.7698119  38.27377749]
 [ 9.98292926 38.35612064]
 [10.75587512 36.80711039]
 [11.07476525 39.49247769]
 [ 8.98422666 39.35098004]]",426.2845063,0.15
5,14,9,CMA,450969,16345,"[[10.47512739 37.03642473]
 [10.68241016 36.66131177]
 [11.76996744 38.273119  ]
 [12.14176809 38.04739967]
 [11.71013083 35.33347778]
 [10.46537723 35.27345793]
 [ 9.48211401 37.1153495 ]
 [13.03004484 35.96100024]
 [10.9902249  39.84108453]
 [13.48455769 35.49468132]]",884.098146,0.24
6,26,21,CMA,450616,15992,"[[12.3904247  37.54927215]
 [10.51992601 39.54866789]
 [13.51544692 36.02409729]
 [13.54815746 36.27136875]
 [10.96860836 39.26175281]
 [13.36105813 37.94085146]
 [11.96699847 37.74380305]
 [ 9.87377987 39.04814535]
 [12.40224149 39.14281903]
 [12.10356031 39.75876012]]",263.4214823,0.1
7,21,16,CMA,450616,15992,"[[12.3904247  37.54927215]
 [10.51992601 39.54866789]
 [13.51544692 36.02409729]
 [13.54815746 36.27136875]
 [10.96860836 39.26175281]
 [13.36105813 37.94085146]
 [11.96699847 37.74380305]
 [ 9.87377987 39.04814535]
 [12.40224149 39.14281903]
 [12.10356031 39.75876012]]",262.6071243,0.1
8,13,8,CMA,449149,14525,"[[11.6873387  38.79648576]
 [11.18198922 39.34991268]
 [10.43088599 36.02092235]
 [12.39076717 37.54993592]
 [10.499175   39.85601136]
 [11.974542   37.99740319]
 [10.84302192 35.26914779]
 [10.74242458 36.80562326]
 [10.19793667 39.88874452]
 [11.48082116 36.05515463]]",702.9387269,0.2
32,,2,CMA,448419,13795,"[[ 8.83428679 37.45603717]
 [12.16453819 36.259698  ]
 [13.45970217 35.89133849]
 [11.20423301 37.61120937]
 [11.97744581 40.20540178]
 [11.81666251 37.6084168 ]
 [10.75587094 36.80680656]
 [12.31567008 35.30587665]
 [12.00609152 35.29867371]
 [10.77032856 38.80440637]]",557.9838307,0.15
72,,2,CMA,448419,13795,"[[ 8.83428679 37.45603717]
 [12.16453819 36.259698  ]
 [13.45970217 35.89133849]
 [11.20423301 37.61120937]
 [11.97744581 40.20540178]
 [11.81666251 37.6084168 ]
 [10.75587094 36.80680656]
 [12.31567008 35.30587665]
 [12.00609152 35.29867371]
 [10.77032856 38.80440637]]",557.9838307,0.15
9,7,2,CMA,448238,13614,"[[11.95597113 39.43036176]
 [12.07587874 39.06274152]
 [13.28329621 38.24623243]
 [ 8.84893206 39.05042665]
 [13.73167748 37.28495718]
 [11.69074259 36.5220024 ]
 [12.35053995 37.23984381]
 [11.81645798 37.60850163]
 [13.05071531 35.54700905]
 [ 9.27538352 39.36990887]]",401.0561659,0.15
10,23,18,CMA,448160,13536,"[[12.45113393 35.74591001]
 [ 9.15592262 37.84413421]
 [11.49718091 37.11096611]
 [11.41327066 37.14742938]
 [11.05908719 37.2964189 ]
 [ 9.36523686 36.49927642]
 [11.68715003 38.79659838]
 [10.56327477 38.67512115]
 [12.28136201 40.2099905 ]
 [12.69023178 37.68789835]]",593.4959083,0.2
11,28,23,CMA,448160,13536,"[[12.45113393 35.74591001]
 [ 9.15592262 37.84413421]
 [11.49718091 37.11096611]
 [11.41327066 37.14742938]
 [11.05908719 37.2964189 ]
 [ 9.36523686 36.49927642]
 [11.68715003 38.79659838]
 [10.56327477 38.67512115]
 [12.28136201 40.2099905 ]
 [12.69023178 37.68789835]]",594.6940033,0.2
82,,12,CMA,447874,13250,"[[10.76347857 35.7578114 ]
 [ 9.87399921 39.05057515]
 [11.09223745 39.28842439]
 [10.51194826 39.85627265]
 [12.01149748 36.9125229 ]
 [ 9.24826713 37.72756401]
 [10.06309967 38.98088259]
 [12.25497564 36.44138095]
 [12.02060845 37.64787949]
 [13.74876912 35.76352987]]",366.2012856,0.15
42,,12,CMA,447874,13250,"[[10.76347857 35.7578114 ]
 [ 9.87399921 39.05057515]
 [11.09223745 39.28842439]
 [10.51194826 39.85627265]
 [12.01149748 36.9125229 ]
 [ 9.24826713 37.72756401]
 [10.06309967 38.98088259]
 [12.25497564 36.44138095]
 [12.02060845 37.64787949]
 [13.74876912 35.76352987]]",366.2012856,0.15
102,,32,CMA,447874,13250,"[[10.76347857 35.7578114 ]
 [ 9.87399921 39.05057515]
 [11.09223745 39.28842439]
 [10.51194826 39.85627265]
 [12.01149748 36.9125229 ]
 [ 9.24826713 37.72756401]
 [10.06309967 38.98088259]
 [12.25497564 36.44138095]
 [12.02060845 37.64787949]
 [13.74876912 35.76352987]]",394.7578785,0.15
52,,22,CMA,447874,13250,"[[10.76347857 35.7578114 ]
 [ 9.87399921 39.05057515]
 [11.09223745 39.28842439]
 [10.51194826 39.85627265]
 [12.01149748 36.9125229 ]
 [ 9.24826713 37.72756401]
 [10.06309967 38.98088259]
 [12.25497564 36.44138095]
 [12.02060845 37.64787949]
 [13.74876912 35.76352987]]",367.0976889,0.15
92,,22,CMA,447874,13250,"[[10.76347857 35.7578114 ]
 [ 9.87399921 39.05057515]
 [11.09223745 39.28842439]
 [10.51194826 39.85627265]
 [12.01149748 36.9125229 ]
 [ 9.24826713 37.72756401]
 [10.06309967 38.98088259]
 [12.25497564 36.44138095]
 [12.02060845 37.64787949]
 [13.74876912 35.76352987]]",367.0976889,0.15
62,,32,CMA,447874,13250,"[[10.76347857 35.7578114 ]
 [ 9.87399921 39.05057515]
 [11.09223745 39.28842439]
 [10.51194826 39.85627265]
 [12.01149748 36.9125229 ]
 [ 9.24826713 37.72756401]
 [10.06309967 38.98088259]
 [12.25497564 36.44138095]
 [12.02060845 37.64787949]
 [13.74876912 35.76352987]]",394.7578785,0.15
64,,34,CMA,447871,13247,"[[11.18388337 39.92986171]
 [11.35486355 38.50751129]
 [13.486572   36.98295176]
 [10.24030628 37.85868115]
 [10.96204294 37.6914143 ]
 [ 9.28535698 36.71178007]
 [13.02894461 37.09754132]
 [ 9.63208361 36.6144031 ]
 [13.69884377 39.63770095]
 [11.81711761 37.60825783]]",761.1813319,0.24
94,,24,CMA,447871,13247,"[[11.18388337 39.92986171]
 [11.35486355 38.50751129]
 [13.486572   36.98295176]
 [10.24030628 37.85868115]
 [10.96204294 37.6914143 ]
 [ 9.28535698 36.71178007]
 [13.02894461 37.09754132]
 [ 9.63208361 36.6144031 ]
 [13.69884377 39.63770095]
 [11.81711761 37.60825783]]",740.4264119,0.24
84,,14,CMA,447871,13247,"[[11.18388337 39.92986171]
 [11.35486355 38.50751129]
 [13.486572   36.98295176]
 [10.24030628 37.85868115]
 [10.96204294 37.6914143 ]
 [ 9.28535698 36.71178007]
 [13.02894461 37.09754132]
 [ 9.63208361 36.6144031 ]
 [13.69884377 39.63770095]
 [11.81711761 37.60825783]]",697.2632842,0.24
104,,34,CMA,447871,13247,"[[11.18388337 39.92986171]
 [11.35486355 38.50751129]
 [13.486572   36.98295176]
 [10.24030628 37.85868115]
 [10.96204294 37.6914143 ]
 [ 9.28535698 36.71178007]
 [13.02894461 37.09754132]
 [ 9.63208361 36.6144031 ]
 [13.69884377 39.63770095]
 [11.81711761 37.60825783]]",761.1813319,0.24
44,,14,CMA,447871,13247,"[[11.18388337 39.92986171]
 [11.35486355 38.50751129]
 [13.486572   36.98295176]
 [10.24030628 37.85868115]
 [10.96204294 37.6914143 ]
 [ 9.28535698 36.71178007]
 [13.02894461 37.09754132]
 [ 9.63208361 36.6144031 ]
 [13.69884377 39.63770095]
 [11.81711761 37.60825783]]",697.2632842,0.24
54,,24,CMA,447871,13247,"[[11.18388337 39.92986171]
 [11.35486355 38.50751129]
 [13.486572   36.98295176]
 [10.24030628 37.85868115]
 [10.96204294 37.6914143 ]
 [ 9.28535698 36.71178007]
 [13.02894461 37.09754132]
 [ 9.63208361 36.6144031 ]
 [13.69884377 39.63770095]
 [11.81711761 37.60825783]]",740.4264119,0.24
73,,3,CMA,447124,12500,"[[13.42834597 36.11694056]
 [11.18921136 35.95025295]
 [12.01150451 36.91241166]
 [12.4204583  38.9699983 ]
 [10.59987772 39.08177499]
 [13.38417794 38.14767195]
 [10.6532414  35.46004732]
 [11.41336558 37.14738264]
 [ 9.25407154 38.37012838]
 [10.99020107 39.84130491]]",690.7937782,0.2
33,,3,CMA,447124,12500,"[[13.42834597 36.11694056]
 [11.18921136 35.95025295]
 [12.01150451 36.91241166]
 [12.4204583  38.9699983 ]
 [10.59987772 39.08177499]
 [13.38417794 38.14767195]
 [10.6532414  35.46004732]
 [11.41336558 37.14738264]
 [ 9.25407154 38.37012838]
 [10.99020107 39.84130491]]",690.7937782,0.2
12,5,0,CMA,446711,12087,"[[10.27815422 36.88880841]
 [11.4201269  39.68348856]
 [12.0117552  36.91235861]
 [12.71185354 35.28820128]
 [ 9.20518209 39.38554603]
 [10.3863349  39.27814537]
 [ 8.9144471  37.86676355]
 [11.56649309 39.11409288]
 [11.77002237 38.27292861]
 [ 9.13927452 38.30714816]]",104.4717684,0.05
13,19,14,CMA,446531,11907,"[[11.07124002 36.89072529]
 [11.70590979 35.56140852]
 [12.47732957 38.66314598]
 [11.6877277  38.79632808]
 [12.32771707 37.21995005]
 [13.53553431 39.93477613]
 [10.24063812 37.85866587]
 [12.74350102 39.39597059]
 [ 8.93922009 39.90657909]
 [13.71832566 36.37904532]]",756.2837558,0.24
14,12,7,CMA,446457,11833,"[[10.92761538 35.47838154]
 [11.70544201 39.132881  ]
 [ 9.32022606 39.44764503]
 [10.19026309 39.72710433]
 [13.76280185 38.47605118]
 [ 9.35866106 39.59213925]
 [10.52582892 39.53619739]
 [13.0576936  38.17992065]
 [10.84992155 39.5300708 ]
 [ 9.70926893 36.24997126]]",440.4728229,0.15
75,,5,CMA,446427,11803,"[[11.03993797 38.53256826]
 [ 8.94628085 36.10139282]
 [10.43067386 38.98163625]
 [ 9.56223398 35.60639047]
 [10.15142714 38.151057  ]
 [11.80172512 39.80182213]
 [12.00170251 39.88128504]
 [11.80520486 38.22596251]
 [13.11395379 38.42425935]
 [ 9.23851996 39.22894136]]",162.7121964,0.05
35,,5,CMA,446427,11803,"[[11.03993797 38.53256826]
 [ 8.94628085 36.10139282]
 [10.43067386 38.98163625]
 [ 9.56223398 35.60639047]
 [10.15142714 38.151057  ]
 [11.80172512 39.80182213]
 [12.00170251 39.88128504]
 [11.80520486 38.22596251]
 [13.11395379 38.42425935]
 [ 9.23851996 39.22894136]]",162.7121964,0.05
15,9,4,CMA,446169,11545,"[[ 8.74574051 37.437879  ]
 [10.72112891 36.89101218]
 [13.10408604 35.45576335]
 [10.02161107 37.09741909]
 [11.9671936  37.74385516]
 [11.10276674 39.31819271]
 [13.08266228 36.01078921]
 [10.75589711 36.8065914 ]
 [10.98543223 37.96071375]
 [13.64369193 36.89765012]]",806.3557601,0.24
85,,15,CMA,445716,11092,"[[10.42128108 38.2480974 ]
 [10.15153578 38.15128925]
 [ 8.94981318 37.43625649]
 [11.07123578 36.89074005]
 [13.43511739 39.85939734]
 [11.68742399 38.79646831]
 [10.57524929 37.00881198]
 [12.40983907 39.82534954]
 [ 9.91738135 37.93413876]
 [10.2359034  37.29157836]]",155.5649786,0.05
105,,35,CMA,445716,11092,"[[10.42128108 38.2480974 ]
 [10.15153578 38.15128925]
 [ 8.94981318 37.43625649]
 [11.07123578 36.89074005]
 [13.43511739 39.85939734]
 [11.68742399 38.79646831]
 [10.57524929 37.00881198]
 [12.40983907 39.82534954]
 [ 9.91738135 37.93413876]
 [10.2359034  37.29157836]]",170.1259763,0.05
65,,35,CMA,445716,11092,"[[10.42128108 38.2480974 ]
 [10.15153578 38.15128925]
 [ 8.94981318 37.43625649]
 [11.07123578 36.89074005]
 [13.43511739 39.85939734]
 [11.68742399 38.79646831]
 [10.57524929 37.00881198]
 [12.40983907 39.82534954]
 [ 9.91738135 37.93413876]
 [10.2359034  37.29157836]]",170.1259763,0.05
95,,25,CMA,445716,11092,"[[10.42128108 38.2480974 ]
 [10.15153578 38.15128925]
 [ 8.94981318 37.43625649]
 [11.07123578 36.89074005]
 [13.43511739 39.85939734]
 [11.68742399 38.79646831]
 [10.57524929 37.00881198]
 [12.40983907 39.82534954]
 [ 9.91738135 37.93413876]
 [10.2359034  37.29157836]]",172.5321567,0.05
55,,25,CMA,445716,11092,"[[10.42128108 38.2480974 ]
 [10.15153578 38.15128925]
 [ 8.94981318 37.43625649]
 [11.07123578 36.89074005]
 [13.43511739 39.85939734]
 [11.68742399 38.79646831]
 [10.57524929 37.00881198]
 [12.40983907 39.82534954]
 [ 9.91738135 37.93413876]
 [10.2359034  37.29157836]]",172.5321567,0.05
45,,15,CMA,445716,11092,"[[10.42128108 38.2480974 ]
 [10.15153578 38.15128925]
 [ 8.94981318 37.43625649]
 [11.07123578 36.89074005]
 [13.43511739 39.85939734]
 [11.68742399 38.79646831]
 [10.57524929 37.00881198]
 [12.40983907 39.82534954]
 [ 9.91738135 37.93413876]
 [10.2359034  37.29157836]]",155.5649786,0.05
37,,7,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",475.9938772,0.15
57,,27,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",526.1994615,0.15
77,,7,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",475.9938772,0.15
97,,27,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",526.1994615,0.15
